-0.01,0.02,0.99,-0.18,0.31,-0.24,stay
-0.02,0.03,0.99,-0.18,0.12,-0.24,stay
-0.02,0.03,0.99,-0.12,0.18,-0.24,stay
-0.01,0.03,1.0,-0.18,0.31,-0.24,stay
-0.02,0.03,0.99,-0.31,0.18,-0.24,stay
-0.02,0.03,0.99,-0.12,0.24,-0.24,stay
-0.02,0.03,0.99,-0.06,0.31,-0.24,stay
-0.02,0.03,0.99,-0.18,0.18,-0.24,stay
-0.02,0.03,0.99,-0.12,0.12,-0.24,stay
-0.02,0.03,0.99,-0.18,0.18,-0.24,stay
-0.02,0.03,0.99,-0.24,0.31,-0.31,stay
-0.02,0.03,0.99,-0.06,0.18,-0.18,stay
-0.02,0.03,0.99,-0.12,0.24,-0.18,stay
-0.02,0.03,0.99,-0.12,0.18,-0.24,stay
-0.01,0.03,0.99,-0.18,0.18,-0.18,stay
-0.02,0.03,0.99,-0.18,0.12,-0.24,stay
-0.02,0.03,0.99,-0.12,0.12,-0.24,stay
-0.01,0.03,0.99,-0.24,0.37,-0.31,stay
-0.02,0.03,0.99,-0.18,0.24,-0.24,stay
-0.02,0.02,0.99,-0.06,0.12,-0.24,stay
-0.01,0.03,1.0,-0.18,0.37,-0.24,stay
-0.01,0.03,0.99,-0.18,0.31,-0.24,stay
-0.02,0.03,0.99,-0.06,0.06,-0.18,stay
-0.01,0.03,0.99,-0.31,0.24,-0.18,stay
-0.01,0.03,1.0,-0.18,0.24,-0.24,stay
-0.02,0.03,0.99,-0.18,0.06,-0.18,stay
-0.02,0.03,0.99,-0.06,0.24,-0.18,stay
-0.01,0.03,0.99,-0.18,0.31,-0.18,stay
-0.02,0.03,1.0,-0.18,0.18,-0.24,stay
-0.02,0.03,0.99,-0.12,0.18,-0.24,stay
-0.02,0.03,0.99,-0.06,0.24,-0.24,stay
-0.01,0.03,0.99,-0.31,0.31,-0.37,stay
-0.02,0.03,0.99,-0.12,0.12,-0.24,stay
-0.02,0.03,1.0,-0.12,0.24,-0.24,stay
-0.01,0.03,0.99,-0.18,0.37,-0.24,stay
-0.02,0.03,0.99,-0.18,0.24,-0.31,stay
-0.02,0.03,0.99,-0.12,0.06,-0.12,stay
-0.01,0.03,1.0,-0.18,0.31,-0.24,stay
-0.01,0.03,0.99,-0.12,0.24,-0.31,stay
-0.02,0.03,0.99,-0.12,0.24,-0.18,stay
-0.01,0.03,0.99,-0.06,0.31,-0.24,stay
-0.01,0.03,1.0,0.0,0.18,-0.18,stay
-0.01,0.03,0.99,-0.18,0.31,-0.18,stay
-0.02,0.03,0.99,-0.06,0.12,-0.18,stay
-0.02,0.03,0.99,-0.12,0.18,-0.24,stay
-0.01,0.03,1.0,-0.24,0.37,-0.24,stay
-0.02,0.03,0.99,-0.12,0.06,-0.31,stay
-0.01,0.03,0.99,-0.12,0.18,-0.24,stay
-0.01,0.03,0.99,-0.31,0.43,-0.24,stay
-0.01,0.03,0.99,-0.12,0.06,-0.18,stay
-0.02,0.03,0.99,-0.18,0.18,-0.24,stay
-0.01,0.03,0.99,-0.31,0.37,-0.31,stay
-0.01,0.03,0.99,-0.12,0.24,-0.24,stay
-0.01,0.02,0.99,-0.18,0.24,-0.24,stay
-0.01,0.03,0.99,-0.37,0.31,-0.31,stay
-0.01,0.03,0.99,0.0,0.12,-0.18,stay
-0.01,0.03,0.99,-0.12,0.18,-0.18,stay
-0.01,0.03,0.99,-0.18,0.37,-0.24,stay
-0.01,0.03,0.99,-0.12,0.31,-0.31,stay
-0.01,0.03,0.99,-0.12,0.12,-0.24,stay
-0.02,0.03,0.99,-0.06,0.12,-0.24,stay
-0.01,0.03,0.99,-0.12,0.31,-0.24,stay
-0.01,0.03,0.99,-0.12,0.18,-0.24,stay
-0.01,0.03,0.99,-0.12,0.18,-0.18,stay
-0.01,0.03,1.0,-0.24,0.24,-0.24,stay
-0.01,0.03,0.99,-0.18,0.24,-0.24,stay
-0.01,0.03,0.99,-0.18,0.12,-0.18,stay
-0.01,0.03,0.99,-0.18,0.31,-0.18,stay
-0.01,0.03,0.99,-0.06,0.18,-0.18,stay
-0.01,0.03,0.99,-0.12,0.18,-0.18,stay
-0.01,0.03,0.99,-0.18,0.18,-0.18,stay
-0.01,0.03,0.99,-0.06,0.18,-0.18,stay
-0.01,0.03,0.99,-0.12,0.18,-0.18,stay
-0.01,0.03,0.99,-0.12,0.24,-0.24,stay
-0.01,0.03,0.99,-0.18,0.18,-0.24,stay
-0.01,0.03,0.99,-0.18,0.24,-0.18,stay
-0.02,0.03,0.99,0.0,0.12,-0.18,stay
-0.01,0.03,0.99,-0.18,0.24,-0.31,stay
-0.01,0.03,0.99,-0.24,0.37,-0.31,stay
-0.02,0.03,0.99,-0.06,0.0,-0.18,stay
-0.01,0.03,0.99,-0.18,0.18,-0.24,stay
-0.01,0.03,0.99,-0.12,0.24,-0.18,stay
-0.02,0.03,0.99,-0.12,0.12,-0.18,stay
